                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.23615,                0.16968,                0.83222,                0.99408,                0.99741,                0.99405,                0.97881,                0.18599,                 0.1134,                 0.7858,               0.006436,               0.006436,               0.006436
                     38,                0.23531,                0.16803,                0.83015,                0.99395,                0.99817,                0.99323,                0.98001,                 0.1794,                0.11178,                0.78456,               0.006337,               0.006337,               0.006337
                     39,                0.23397,                0.16766,                 0.8298,                0.99405,                 0.9968,                0.99384,                0.97941,                0.18317,                0.11809,                0.78587,               0.006238,               0.006238,               0.006238
                     40,                0.23412,                0.16778,                0.82935,                0.99493,                0.99713,                0.99395,                0.98004,                0.18273,                0.11457,                0.78591,               0.006139,               0.006139,               0.006139
                     41,                0.23096,                0.16459,                0.83001,                0.99402,                0.99726,                0.99382,                 0.9792,                0.18177,                0.11061,                0.78535,                0.00604,                0.00604,                0.00604
                     42,                0.23091,                0.16414,                0.83001,                0.99475,                0.99853,                 0.9938,                0.98015,                0.17931,                0.10781,                0.78355,               0.005941,               0.005941,               0.005941
                     43,                0.23071,                0.16348,                0.82891,                0.99226,                0.99842,                0.99339,                0.97955,                0.18088,                 0.1103,                 0.7811,               0.005842,               0.005842,               0.005842
                     44,                0.22839,                 0.1603,                0.82902,                0.99454,                0.99862,                0.99383,                0.98078,                0.17722,                0.10523,                0.78384,               0.005743,               0.005743,               0.005743
                     45,                0.22753,                0.16113,                0.82818,                0.99377,                0.99771,                0.99422,                0.98048,                0.17751,                0.10887,                0.78332,               0.005644,               0.005644,               0.005644
                     46,                0.22759,                0.16147,                0.82546,                0.99498,                0.99718,                0.99379,                0.98086,                 0.1795,                0.10895,                0.78333,               0.005545,               0.005545,               0.005545
                     47,                0.22545,                0.15868,                0.82449,                0.99498,                 0.9969,                0.99412,                0.98038,                0.17956,                0.10618,                0.78279,               0.005446,               0.005446,               0.005446
                     48,                0.22589,                0.15926,                0.82708,                0.99498,                0.99677,                0.99376,                0.98145,                0.17638,                 0.1064,                0.78262,               0.005347,               0.005347,               0.005347
                     49,                0.22204,                0.15408,                0.82635,                0.99225,                0.99812,                0.99394,                0.98205,                 0.1744,                 0.1065,                 0.7825,               0.005248,               0.005248,               0.005248
                     50,                0.22265,                 0.1565,                0.82665,                0.99394,                0.99634,                0.99322,                0.98093,                0.17507,                0.10791,                0.78247,               0.005149,               0.005149,               0.005149
                     51,                0.22067,                0.15443,                0.82537,                0.99167,                0.99798,                0.99441,                0.98194,                0.17432,                0.10892,                0.78195,                0.00505,                0.00505,                0.00505
