                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.24584,                0.18045,                0.82576,                0.99494,                 0.9956,                0.99424,                0.97907,                0.18963,                0.12369,                0.72656,               0.006436,               0.006436,               0.006436
                     38,                0.24482,                0.17933,                0.82354,                0.99471,                0.99701,                0.99441,                0.98007,                0.18921,                0.12428,                0.72349,               0.006337,               0.006337,               0.006337
                     39,                0.24363,                0.17737,                0.82315,                0.99476,                0.99726,                0.99406,                0.98062,                0.18966,                0.12536,                0.71894,               0.006238,               0.006238,               0.006238
                     40,                0.24225,                0.17803,                0.82373,                0.99447,                0.99589,                0.99424,                0.98041,                0.18879,                0.12918,                0.74845,               0.006139,               0.006139,               0.006139
                     41,                0.24053,                0.17578,                0.82372,                0.99543,                0.99551,                 0.9935,                 0.9783,                0.18905,                0.12834,                0.76686,                0.00604,                0.00604,                0.00604
                     42,                0.24021,                0.17391,                0.82464,                0.99648,                0.99543,                0.99432,                0.98106,                0.18536,                0.11847,                0.72106,               0.005941,               0.005941,               0.005941
                     43,                0.23899,                0.17451,                0.82405,                0.99621,                0.99492,                0.99407,                0.97898,                0.18693,                0.12091,                0.74187,               0.005842,               0.005842,               0.005842
                     44,                0.23868,                0.17121,                0.82377,                0.99363,                0.99812,                0.99431,                0.98058,                0.18428,                0.11708,                0.71832,               0.005743,               0.005743,               0.005743
                     45,                0.23662,                0.16986,                0.82249,                0.99508,                0.99817,                0.99427,                0.97876,                0.18462,                0.11914,                0.72601,               0.005644,               0.005644,               0.005644
                     46,                0.23519,                0.17052,                0.82162,                0.99494,                0.99596,                0.99416,                0.98074,                0.18224,                0.11647,                0.71663,               0.005545,               0.005545,               0.005545
                     47,                0.23267,                0.16792,                0.82173,                0.99508,                0.99802,                0.99459,                0.98015,                0.18281,                0.11544,                0.72034,               0.005446,               0.005446,               0.005446
                     48,                0.23366,                0.16914,                0.82305,                0.99589,                0.99751,                0.99434,                0.98125,                0.18221,                 0.1178,                0.71941,               0.005347,               0.005347,               0.005347
                     49,                0.23206,                0.16585,                0.82115,                0.99452,                 0.9972,                0.99432,                0.98036,                0.18033,                0.11851,                0.71721,               0.005248,               0.005248,               0.005248
